Tipo de identificación,ID. Cliente,Saldo de aportes,Valor aporte mensual,Saldo aportes ordinarios,Saldo aportes extraordinarios,Valor revalorización,Monto promedio año,Ultima fecha de pago
C,27327,344404.0,13000,344404.0,0,0,280116,2024-09-30
C,23126,86463.0,13000,86463.0,0,0,86463,2023-04-20
C,1248,1691728.0,40000,1691728.0,0,0,1615266,2024-09-18
C,6108,98775.0,13000,98775.0,0,0,98775,2022-03-31
C,23125,46597.0,13000,46597.0,0,0,46597,2023-01-28
C,23113,422616.0,13000,422616.0,0,0,358328,2024-09-30
C,6094,4336609.0,13000,4336609.0,0,0,4277266,2024-05-16
C,36597,31493.0,13000,31493.0,0,0,31493,2023-02-22
C,23112,3750367.0,13000,3750367.0,0,0,3674687,2024-09-07
C,27320,82354.0,13000,82354.0,0,0,82354,2023-12-19
C,6093,26337.0,13000,26337.0,0,0,26337,2022-03-31
C,6092,79320.0,13000,79320.0,0,0,79320,2022-03-31
C,23111,376042.0,13000,376042.0,0,0,376042,2022-03-31
C,13929,68334.0,13000,68334.0,0,0,68334,2022-03-31
C,13928,68573.0,13000,68573.0,0,0,68573,2022-03-31
C,6091,47308.0,13000,47308.0,0,0,47308,2022-03-31
C,13927,45517.0,13000,45517.0,0,0,45517,2022-03-31
C,6090,202891.0,13000,202891.0,0,0,202891,2022-03-31
C,23110,128230.0,13000,128230.0,0,0,128230,2022-08-30
C,13926,487585.0,13000,487585.0,0,0,487585,2022-03-31
C,13925,23345.0,13000,23345.0,0,0,23345,2022-03-31
C,6089,107089.0,13000,107089.0,0,0,107089,2022-03-31
C,27319,393847.0,13000,393847.0,0,0,393847,2022-03-31
C,27318,145251.0,13000,145251.0,0,0,145251,2022-03-31
C,6088,27201.0,13000,27201.0,0,0,27201,2022-03-31
C,47662,160979.0,13000,160979.0,0,0,160979,2022-07-29
C,23109,51548.0,13000,51548.0,0,0,51548,2023-04-20
C,36596,79006.0,13000,79006.0,0,0,79006,2022-03-31
C,27317,348029.0,13000,348029.0,0,0,348029,2022-03-31
C,27316,139199.0,13000,139199.0,0,0,139199,2022-08-30
C,16720,410006.0,13000,410006.0,0,0,410006,2022-03-31
C,6071,649294.0,13000,649294.0,0,0,649294,2023-02-17
C,23090,70182.0,13000,70182.0,0,0,70182,2022-03-31
C,6070,148631.0,13000,148631.0,0,0,148631,2022-03-31
C,6069,288758.0,13000,288758.0,0,0,288758,2023-12-28
C,36594,26388.0,13000,26388.0,0,0,26388,2022-03-31
C,23089,67254.0,13000,67254.0,0,0,67254,2022-03-31
C,13914,720945.0,13000,720945.0,0,0,720945,2022-03-31
C,13913,37652.0,13000,37652.0,0,0,37652,2022-03-31
C,6068,50251.0,13000,50251.0,0,0,50251,2022-09-28
C,13912,33154.0,13000,33154.0,0,0,33154,2022-03-31
C,43772,494150.0,13000,494150.0,0,0,494150,2022-03-31
C,13911,49674.0,13000,49674.0,0,0,49674,2022-03-31
C,6067,4712605.0,13000,4712605.0,0,0,4634485,2024-09-28
C,6066,59062.0,13000,59062.0,0,0,59062,2022-03-31
C,13910,70756.0,13000,70756.0,0,0,70756,2022-03-31
C,13909,332524.0,13000,332524.0,0,0,332524,2022-03-31
C,6065,26694.0,13000,26694.0,0,0,26694,2022-03-31
C,1172,421094.0,13000,421094.0,0,0,421094,2022-03-31
C,23088,515700.0,13000,515700.0,0,0,435101,2024-09-09
C,23087,87877.0,13000,87877.0,0,0,87877,2022-03-31
C,6064,663374.0,13000,663374.0,0,0,587899,2024-08-03
C,27309,294075.0,13000,294075.0,0,0,202535,2024-09-09
C,6063,104268.0,13000,104268.0,0,0,104268,2022-03-31
C,27308,26337.0,13000,26337.0,0,0,26337,2022-03-31
C,27307,74402.0,13000,74402.0,0,0,74402,2022-03-31
C,23086,47014.0,13000,47014.0,0,0,47014,2022-03-31
C,27306,786616.0,13000,786616.0,0,0,786616,2022-03-31
C,6049,171357.0,13000,171357.0,0,0,171357,2022-03-31
C,6048,856807.0,13000,856807.0,0,0,856807,2022-03-31
C,6047,59651.0,13000,59651.0,0,0,59651,2022-03-31
C,23075,26493.0,13000,26493.0,0,0,26493,2022-03-31
C,23074,563512.0,13000,563512.0,0,0,563512,2022-03-31
C,6046,31597.0,13000,31597.0,0,0,31597,2022-08-30
C,13892,324690.0,13000,324690.0,0,0,324690,2022-03-31
C,23073,27291.0,13000,27291.0,0,0,27291,2022-03-31
C,13891,27232.0,13000,27232.0,0,0,27232,2022-03-31
C,13890,31087.0,13000,31087.0,0,0,31087,2022-03-31
C,6045,107159.0,13000,107159.0,0,0,107159,2022-03-31
C,23071,821073.0,13000,821073.0,0,0,791482,2024-07-04
C,13889,250395.0,13000,250395.0,0,0,250395,2023-07-31
C,23070,543171.0,13000,543171.0,0,0,543171,2022-03-31
C,13888,31972.0,13000,31972.0,0,0,31972,2022-11-23
C,13887,124912.0,13000,124912.0,0,0,124912,2022-03-31
C,27305,121811.0,13000,121811.0,0,0,121811,2022-03-31
C,6044,117317.0,13000,117317.0,0,0,117317,2022-03-31
C,6043,22142.0,13000,22142.0,0,0,22142,2022-03-31
C,6042,66053.0,13000,66053.0,0,0,66053,2023-02-22
